0,1,2,3,4,5,6
-3.0475,-0.1524,-0.3226,-2.3405,1.2040,-0.7646,0.3582
-3.0543,-0.2111,-0.3935,-2.4462,1.6742,-0.4010,-1.4812
-2.0616,-5.0691,-1.9675,1.6682,0.1277,-0.5344,1.1069
-2.0616,-5.0691,-1.9675,1.6682,0.1277,-0.5345,1.1069
-2.0960,-1.0999,-0.5143,4.8658,2.5433,-0.5041,1.0817
-2.0894,-0.9934,-0.4515,4.8958,2.4120,-0.4117,1.0745
-3.0360,-0.3648,-0.3952,-1.1708,0.4345,-1.8442,-1.1369
-3.0236,-0.1181,-0.4406,-2.3713,1.2033,-0.7638,0.5839
-3.0274,-0.1186,-0.4225,-2.3743,1.2389,-0.7161,0.3539
-3.0288,-0.0759,-0.4236,-2.4431,1.5544,-0.2917,-1.3770
-3.0452,0.3663,-0.2963,-5.8719,6.0508,8.3286,1.1690
-3.0405,0.2782,-0.3026,-5.7281,5.3809,7.4274,4.8612
-3.0497,-0.0991,-0.3219,-2.4269,1.6028,-0.2280,-1.8342
-3.0418,-0.1788,-0.3445,-2.2931,0.9597,-1.0931,1.7419
-3.0364,-0.1457,-0.3756,-2.3402,1.1385,-0.8519,0.8175
-3.0345,-0.1695,-0.3805,-2.3008,0.9512,-1.1039,1.8558
-3.0450,-0.1541,-0.3343,-2.3353,1.1661,-0.8155,0.5884
-3.0359,-0.1478,-0.3778,-2.3363,1.1183,-0.8791,0.9327
-3.0397,-0.0731,-0.3736,-2.4581,1.6839,-0.1181,-2.1827
-3.0207,-0.1463,-0.4489,-2.3239,0.9751,-1.0707,1.8529
-3.0326,-0.1602,-0.3912,-2.3135,0.9969,-1.0422,1.6246
-3.0175,-0.7222,-0.4829,0.2002,-0.6006,-2.9020,0.0978
-3.0066,-0.7069,-0.5364,0.1867,-0.6029,-2.9043,0.2110
-3.0037,-0.6450,-0.5610,0.0917,-0.1953,-2.3555,-1.9824
-2.9949,-0.6992,-0.5924,0.1859,-0.6673,-2.9902,0.6702
-3.0075,-0.6573,-0.5412,0.1075,-0.2442,-2.4216,-1.7509
